link,name,old_price,price
https://clickbuy.com.vn/loa-bluetooth-harman-kardon-go-play,Loa Bluetooth Harman Kardon Go + Play Mini,[216.96],[199.57]
https://clickbuy.com.vn/loa-harman-kardon-aura-studio-3,Loa Harman Kardon Aura Studio 3,[282.17],[208.26]
https://clickbuy.com.vn/loa-jbl-party-on-the-go-2-micro,Loa JBL Party On The Go - 2 MICRO,[247.39],[212.61]
https://clickbuy.com.vn/ipad-gen-9wifi-64gb.html,"iPad Gen 9 10.2"" 2021 WiFi 64GB | Chính hãng Việt Nam",[477.83],[295.22]
https://clickbuy.com.vn/harman-kardon-go-play-3,Harman Kardon Go + Play 3,[390.87],[303.91]
https://clickbuy.com.vn/xiaomi-haylou-t16.html,Xiaomi Haylou T16,,[0.0]
https://clickbuy.com.vn/tai-nghe-bluetooth-xiaomi-air-2-se.html,Tai nghe Bluetooth Xiaomi Air 2 SE,,[0.0]
https://clickbuy.com.vn/loa-bluetooth-mi-compact-bluetooth-speaker-2.html,Loa bluetooth Mi Compact Bluetooth Speaker 2,,[0.0]
https://clickbuy.com.vn/redmi-airdots-2-new-fullbox.html,Redmi Airdots 2 (New - Fullbox),,[0.0]
https://clickbuy.com.vn/xiaomi-qcy-t5.html,Xiaomi QCY T5,,[0.0]
https://clickbuy.com.vn/tai-nghe-true-wireless-chong-on-jbl-t230nc.html,Tai nghe True Wireless Chống Ồn JBL T230NC,[108.26],[69.13]
https://clickbuy.com.vn/tai-nghe-apple-earpods-lightning.html,Tai Nghe Apple EarPods Lightning chính hãng VNA,,[19.52]
https://clickbuy.com.vn/tai-nghe-true-wireless-jbl-t115tws.html,Tai nghe True Wireless JBL T115TWS,[64.78],[43.04]
https://clickbuy.com.vn/ipad-gen-9-4g-64gb.html,iPad Gen 9 10.2″ 2021 4G 64GB | Chính hãng Việt Nam,[608.26],[390.87]
https://clickbuy.com.vn/ipad-gen-10-10-9-inch-2022-wifi-64gb-i-chinh-hang-apple-viet-nam.html,iPad Gen 10 10.9 inch 2022 Wifi 64GB I Chính hãng Apple Việt Nam,[564.78],[447.39]
https://clickbuy.com.vn/ipad-pro-11-inch-2022-m2-wifi-128gb-i-chinh-hang-apple-viet-nam.html,iPad Pro M2 11 inch 2022 Wifi 128GB I Chính hãng Apple Việt Nam,[1043.04],[838.7]
https://clickbuy.com.vn/ipad-pro-11-inch-2022-m2-wifi-256gb-i-chinh-hang-apple-viet-nam.html,iPad Pro 11 inch 2022 M2 Wifi 256GB I Chính hãng Apple Việt Nam,[1173.48],[1030.0]
https://clickbuy.com.vn/ipad-gen-10-10-9-inch-2022-wifi-5g-64gb-i-chinh-hang-apple-viet-nam.html,iPad Gen 10 10.9 inch 2022 Wifi + 5G 64GB I Chính hãng Apple Việt Nam,[738.7],[577.83]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-5g-8gb-128gb-chinh-hang.html,Samsung Galaxy Tab S9 5G 8GB 128GB Chính hãng,[999.57],[651.74]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-wifi-12gb-256gb-chinh-hang.html,Samsung Galaxy Tab S9 Wifi 12GB 256GB Chính hãng,[956.09],[608.26]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-5g12gb-256gb-chinh-hang.html,Samsung Galaxy Tab S9 (5G)12GB 256GB Chính hãng,[1086.52],[760.43]
https://clickbuy.com.vn/samsung-galaxy-s23-ultra-5g-8gb-256gb-chinh-hang.html,Samsung Galaxy S23 Ultra (5G) 8GB 256GB Chính Hãng,[1390.87],[873.48]
https://clickbuy.com.vn/samsung-galaxy-a23-5g-chinh-hang.html,Samsung Galaxy A23 (5G) 4GB 128GB Chính hãng,[290.87],[190.87]
https://clickbuy.com.vn/apple-iphone-12-128gb-chinh-hang-vn-a.html,iPhone 12 128GB Chính hãng VN/A,[939.13],[599.57]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-plus-5g-12gb-256gb-chinh-hang.html,Samsung Galaxy Tab S9 Plus (5G) 12GB 256GB Chính hãng,[1260.43],[738.7]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-plus-wifi-12gb-512gb-chinh-hang.html,Samsung Galaxy Tab S9 Plus Wifi 12GB 512GB Chính Hãng,[1216.96],[738.7]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-plus-5g-12gb-512gb-chinh-hang.html,Samsung Galaxy Tab S9 Plus (5G) 12GB 512GB Chính Hãng,[1347.39],[808.26]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-ultra-5g-12gb-512gb-chinh-hang.html,Samsung Galaxy Tab S9 Ultra (5G) 12GB 512GB Chính hãng,[1521.3],[1086.52]
https://clickbuy.com.vn/samsung-galaxy-tab-s9-8gb-128gb-chinh-hang.html,Samsung Galaxy Tab S9 Wifi 8GB 128GB Chính hãng,[869.13],[564.78]
